id,score,total_errors,popularity
16819594,-4,1,unpopular
27960087,-4,6,unpopular
46271843,-4,4,unpopular
43539524,-4,2,unpopular
42884009,-4,5,unpopular
31288962,-4,6,unpopular
46450538,-4,62,unpopular
42739789,-4,35,unpopular
35782759,-4,10,unpopular
34671602,-4,5,unpopular
40541972,-4,1,unpopular
49609984,-4,10,unpopular
48549856,-4,5,unpopular
57361053,-4,3,unpopular
42539491,-4,9,unpopular
20785846,-4,48,unpopular
35248509,-4,34,unpopular
49313241,-4,3,unpopular
24168437,-4,15,unpopular
29073966,-4,2,unpopular
47013700,-4,5,unpopular
29593987,-4,2,unpopular
48719611,-4,7,unpopular
46630218,-4,7,unpopular
51106252,-4,26,unpopular
35664903,-4,1,unpopular
13936633,-4,41,unpopular
10519139,-4,5,unpopular
51911722,-4,2,unpopular
53782592,-4,6,unpopular
35063896,-4,135,unpopular
35085032,-4,7,unpopular
46928338,-4,17,unpopular
53973374,-4,4,unpopular
49220015,-4,2,unpopular
46783479,-4,15,unpopular
51999383,-4,13,unpopular
37404615,-4,3,unpopular
47235973,-4,1,unpopular
23237119,-4,9,unpopular
43144051,-4,8,unpopular
42015699,-4,15,unpopular
48829087,-4,2,unpopular
51115282,-4,3,unpopular
33038480,-4,92,unpopular
30740185,-4,36,unpopular
25523885,-4,28,unpopular
25115218,-4,30,unpopular
60772560,-4,1,unpopular
26076396,-4,2,unpopular
41352641,-4,24,unpopular
31217109,-4,2,unpopular
40907280,-4,13,unpopular
34411073,-4,3,unpopular
46629095,-4,6,unpopular
44621128,-4,1,unpopular
22202155,-4,23,unpopular
36622697,-4,23,unpopular
23454905,-4,4,unpopular
51972787,-4,19,unpopular
46440536,-4,9,unpopular
43014153,-4,15,unpopular
18267257,-4,2,unpopular
31907190,-4,2,unpopular
31309956,-4,33,unpopular
54809887,-4,12,unpopular
26892724,-4,29,unpopular
21090364,-4,1,unpopular
47669448,-4,17,unpopular
39890498,-4,2,unpopular
24410886,-4,16,unpopular
24065642,-4,5,unpopular
32998178,-4,41,unpopular
40734243,-4,26,unpopular
11601542,-4,7,unpopular
33062954,-4,2,unpopular
44482623,-4,12,unpopular
40666093,-4,20,unpopular
41041986,-4,20,unpopular
32435763,-4,25,unpopular
23043830,-4,15,unpopular
33075453,-4,8,unpopular
32134845,-4,15,unpopular
48682073,-4,12,unpopular
32465354,-4,1,unpopular
34846563,-4,25,unpopular
20771218,-4,4,unpopular
18058118,-4,58,unpopular
34675587,-4,10,unpopular
35762010,-4,2,unpopular
58547226,-4,55,unpopular
31976459,-4,17,unpopular
24605916,-4,203,unpopular
11977217,-4,130,unpopular
15521740,-4,72,unpopular
45803012,-4,4,unpopular
42025626,-4,8,unpopular
40316371,-4,4,unpopular
24780106,-4,6,unpopular
32143453,-4,10,unpopular
18498930,-4,6,unpopular
33981583,-4,8,unpopular
36396847,-4,1,unpopular
33582064,-4,7,unpopular
30300969,-4,1,unpopular
35174048,-4,9,unpopular
48232660,-4,4,unpopular
41580484,-4,8,unpopular
34475380,-4,14,unpopular
35310023,-4,4,unpopular
39962392,-4,6,unpopular
44683828,-4,2,unpopular
48943560,-4,29,unpopular
41653671,-4,4,unpopular
28952266,-4,22,unpopular
15652797,-4,12,unpopular
38066142,-4,31,unpopular
29753369,-4,11,unpopular
23372341,-4,5,unpopular
41409958,-4,3,unpopular
29602276,-4,2,unpopular
38456617,-4,4,unpopular
41626640,-4,7,unpopular
58183472,-4,9,unpopular
43352122,-4,23,unpopular
49347029,-4,26,unpopular
23562723,-4,45,unpopular
3260815,-4,6,unpopular
32436050,-4,5,unpopular
49969688,-4,5,unpopular
45141622,-4,14,unpopular
36798807,-4,2,unpopular
18634925,-4,1,unpopular
49652044,-4,6,unpopular
29122928,-4,8,unpopular
30486500,-4,18,unpopular
24483813,-4,5,unpopular
37723018,-4,23,unpopular
22688675,-4,5,unpopular
38140210,-4,3,unpopular
34982051,-4,6,unpopular
55449034,-4,19,unpopular
51244215,-4,2,unpopular
42972403,-4,3,unpopular
30298882,-4,11,unpopular
23108241,-4,12,unpopular
29933675,-4,9,unpopular
48049032,-4,8,unpopular
50209827,-4,27,unpopular
38687422,-4,1,unpopular
38263890,-4,13,unpopular
20854921,-4,6,unpopular
35381455,-4,50,unpopular
47183475,-4,8,unpopular
21218141,-4,11,unpopular
17136072,-4,23,unpopular
49021036,-4,18,unpopular
24122185,-4,4,unpopular
45584955,-4,3,unpopular
45775421,-4,3,unpopular
20898451,-4,6,unpopular
23656505,-4,43,unpopular
9724725,-4,4,unpopular
31571265,-4,29,unpopular
45586213,-4,32,unpopular
21475498,-4,9,unpopular
46250300,-4,4,unpopular
32432986,-4,4,unpopular
36421900,-4,25,unpopular
40676041,-4,38,unpopular
35484217,-4,5,unpopular
60421496,-4,18,unpopular
45568960,-4,1,unpopular
58160463,-4,9,unpopular
23850469,-4,13,unpopular
48278884,-4,7,unpopular
41138123,-4,13,unpopular
49646082,-4,2,unpopular
31915726,-4,29,unpopular
10568095,-4,10,unpopular
36424560,-4,12,unpopular
29866321,-4,6,unpopular
26402705,-4,3,unpopular
40540231,-4,5,unpopular
42454334,-4,16,unpopular
38460836,-4,9,unpopular
28120541,-4,6,unpopular
43154062,-4,1,unpopular
34957852,-4,3,unpopular
11201367,-4,18,unpopular
43069021,-4,10,unpopular
50529548,-4,3,unpopular
34899430,-4,74,unpopular
26630833,-4,13,unpopular
46187792,-4,5,unpopular
29791048,-4,6,unpopular
38160905,-4,18,unpopular
13559141,-4,11,unpopular
29987250,-4,7,unpopular
48690764,-4,4,unpopular
13111120,-4,1,unpopular
44885095,-4,6,unpopular
21534891,-4,1,unpopular
38430443,-4,5,unpopular
31309114,-4,14,unpopular
26254937,-4,3,unpopular
24156704,-4,2,unpopular
48513891,-4,4,unpopular
45023307,-4,39,unpopular
30862046,-4,67,unpopular
49665845,-4,2,unpopular
48515236,-4,4,unpopular
32535811,-4,1,unpopular
35799238,-4,1,unpopular
27114108,-4,2,unpopular
42727947,-4,10,unpopular
23394591,-4,39,unpopular
42719024,-4,10,unpopular
46578350,-4,3,unpopular
39788072,-4,118,unpopular
21219163,-4,1,unpopular
32142448,-4,11,unpopular
23632493,-4,2,unpopular
24552409,-4,217,unpopular
44256515,-4,1,unpopular
43708453,-4,13,unpopular
35766183,-4,34,unpopular
39158664,-4,5,unpopular
43982974,-4,6,unpopular
23993844,-4,8,unpopular
39544102,-4,4,unpopular
16272756,-4,1,unpopular
49549483,-4,12,unpopular
39475270,-4,41,unpopular
33220608,-4,3,unpopular
15838999,-4,10,unpopular
49802663,-4,31,unpopular
30914088,-4,35,unpopular
54403299,-4,10,unpopular
39526024,-4,49,unpopular
32884815,-4,5,unpopular
